Date,Sentiment_Score,Log_Return
Mar 18 2022,-0.6850705594896891,-0.8712327756761075
Mar 22 2022,0.6838342726005068,-0.5137351318650623
Mar 23 2022,0.02810446371861996,0.9203956272082486
Mar 24 2022,-0.6258737023325862,1.4525797584545859
Mar 28 2022,-0.3085107715109679,-0.8841808501724264
Mar 29 2022,-1.2591357249306878,-1.7014850662565664
Mar 31 2022,0.0679758255417576,0.9021675868345108
Apr 05 2022,-0.5759681589771236,-0.41691296839798336
Apr 07 2022,-0.026412322845717207,0.8915149525263146
Apr 08 2022,0.5581037732970134,0.43044921724649204
Apr 12 2022,-0.543969836889787,1.6117246022551728
Apr 13 2022,-0.8739434015781231,0.48589291898495096
Apr 14 2022,-0.9912556932585781,-0.6306633420945508
Apr 19 2022,-0.21714034416197844,-1.6411275571319655
Apr 21 2022,-1.3336070303042395,-0.47807636147866783
Apr 22 2022,0.19672222523708907,-0.8700275035964827
Apr 28 2022,-0.008273856450001157,0.13525732515946157
May 02 2022,0.7774234720466523,-2.9628259241115655
May 04 2022,1.044479726305823,-0.14895457559519754
May 09 2022,-0.7204295925261797,-1.534458056946888
May 11 2022,0.7108900198886589,0.761833945054724
May 12 2022,0.006077885653539727,-1.8566265613942285
May 13 2022,-1.2011771224898655,-1.0860772554655684
May 17 2022,0.2868197756035046,0.2635541781508373
May 20 2022,0.3980124996744616,0.0007983317107847326
May 25 2022,-0.49183020778008224,-1.219901049334295
May 31 2022,-0.3284051051477424,-0.5777906035348808
Jun 02 2022,-0.9034829028007728,1.4155288305752034
Jun 06 2022,-0.09098257380804026,-0.4278779496518538
Jun 07 2022,0.1615240769422529,0.48587857522595385
Jun 09 2022,-1.7626910932907973,-0.23160916075641355
Jun 10 2022,1.5900858376184634,1.3802112488674456
Jun 14 2022,-0.4823954060873147,-1.218357684869527
Jun 15 2022,0.9722007086160569,0.3346124675551305
Jun 21 2022,-0.9903594769761456,-0.10032648554730546
Jun 24 2022,-0.21405770179897884,0.013836920260220688
Jun 27 2022,-0.30182336374140667,-0.39365536845180954
Jun 28 2022,-0.6507026915829665,-0.2540923342099014
Jun 29 2022,0.1896670647472407,-0.2801088086925613
Jul 01 2022,-0.4582733845144875,-0.372263565660624
Jul 06 2022,-0.013911180932405488,-1.8239249240551119
Jul 07 2022,-0.06701744471027739,0.16360729269390034
Jul 12 2022,-0.47847165007647335,-0.4876863593690079
Jul 13 2022,-2.645808830056904,0.6952094030105868
Jul 14 2022,2.2234724195931164,-2.0432068242903387
Jul 21 2022,-0.1565126032886943,0.8614950166598251
Jul 25 2022,0.3367764469511805,-0.5829896643596495
Jul 29 2022,0.16858220186421433,0.795994298353197
Aug 01 2022,0.46445561120666307,0.3641172626829342
Aug 03 2022,-0.057686311582217056,-0.8992314181351297
Aug 08 2022,0.3583110211446745,0.869938518557553
Aug 22 2022,-0.7569181153071765,-0.9443518618965
Aug 24 2022,-1.7446518681187602,0.029424524836858257
Aug 25 2022,-0.06337336804429414,0.6189233685920867
Aug 29 2022,0.006929812626977435,-0.0035986591025314986
Sep 01 2022,-0.8037193947016207,-1.1406981800211815
Sep 12 2022,1.5152042915889765,0.7654526211583184
Sep 14 2022,-0.24537475441070156,-0.6174621369640502
Sep 15 2022,0.8577720680954586,-2.1857710348340045
Sep 16 2022,-0.22806324225814717,0.40145508246305084
Sep 20 2022,-0.4554606835155395,-0.4909811393693779
Sep 21 2022,0.3447959647060702,0.30532455122444707
Sep 22 2022,-0.11823196536808811,0.39471475851456783
Sep 26 2022,-1.0108598175731074,-1.6004094026712492
Sep 27 2022,0.6087887813597616,0.2059496660837987
Sep 29 2022,-0.5549657887337816,-0.17001089772399333
Sep 30 2022,-0.39112975670914885,0.23573294491460925
Oct 11 2022,-1.2463189118193752,0.7543196773083768
Oct 12 2022,-0.007529745250911992,-0.619625484791562
Oct 14 2022,-0.6683298872567366,-2.0219467365440873
Oct 19 2022,-1.069699239297856,-1.5611933793797999
Oct 20 2022,0.05873410425362591,0.19820210184647932
Oct 25 2022,-0.5116319471650922,0.25140641686430454
Oct 27 2022,-0.46508899401651954,-0.26758587853085775
Oct 28 2022,-2.1690722415220556,-1.5220490933335435
Nov 01 2022,0.594413586844081,0.6071926186721982
Nov 02 2022,-0.46195116625695815,0.012367727055990005
Nov 07 2022,0.4576847464355392,0.2403797402796225
Nov 08 2022,-0.4067323391849698,2.4032383211476382
Nov 09 2022,-0.0054552185515677355,-0.17278433405251659
Nov 11 2022,-0.2216163541972252,1.0000347717541573
Nov 15 2022,-0.7683781227895718,-0.02394574806966606
Nov 17 2022,-1.1242865215768076,-0.8389285225391119
Nov 18 2022,-1.0400152694814715,-0.62553730511891
Nov 22 2022,0.1895820523330115,0.023103253328760065
Nov 23 2022,0.9378483323664031,0.4030676626676352
Nov 25 2022,-0.6207609174593555,0.5206958732388914
Nov 30 2022,-0.30503760066340063,-0.1965673943448308
Dec 05 2022,-0.7006747986083721,-1.8948266364503723
Dec 06 2022,-0.8406011239757325,0.0877402423458746
Dec 07 2022,0.168233697098656,1.021473277271766
Dec 12 2022,0.14641286656034969,-1.1793849309565847
Dec 13 2022,2.033679794502017,2.1213316596688045
Dec 15 2022,-0.662757955890077,-2.0003742585359023
Dec 16 2022,-1.616432428939455,0.7964064944805441
Dec 20 2022,-0.463313274109602,1.7806299454203103
Dec 21 2022,0.22598575396767243,-0.03704099533175967
Dec 23 2022,0.30846860907060714,0.539924818882584
Dec 28 2022,0.4590419497068645,-0.47943691579329833
Dec 30 2022,1.603260898791568,-0.024276079928643696
